,Country,case,Criminel,Victimes,Périodes,Condamnation,Peine,Notes,begining,End,name
470,Maroc,  Abdelali Hadi  (9 victimes). Condamné à mort en 2004. ,  Abdelali Hadi  ,9 victimes,,,,,,,Morocco
471,Maroc,  Hajj Mohammed Mesfewi  (?-1906) (36 victimes). ,  Hajj Mohammed Mesfewi  ,36 victimes,,,,,,,Morocco
472,Maroc,  Hicham Raoui  (3 victimes). Condamné à mort. ,  Hicham Raoui  ,3 victimes,,,,,,,Morocco
473,Maroc,  Abdelhak Toumi  (3 victimes). Condamné à perpétuité. ,  Abdelhak Toumi  ,3 victimes,,,,,,,Morocco
474,Mexique,  Adolfo Constanzo  et  Sara Aldrete  (au moins 25 victimes) ,  Adolfo Constanzo  et  Sara Aldrete  ,au moins 25 victimes,,,,,,,Mexico
475,Mexique,  Macario Alcala Canchola    (es)   (de 2 à au moins 12 victimes) de 1960 à 1962 à Mexico. Imitateur de  Jack l'Éventreur . Avait un besoin pathologique d'attention. Condamné à 60 ans de prison. ,  Macario Alcala Canchola    ,de 2 à au moins 12 victimes,,,,,,,Mexico
476,Mexique,  Edgar Alvárez et Francisco Granados    (es)   (de 1 à au moins 8 victimes) des femmes à  Ciudad Juarez . Condamnés à 50 ans de prison. ,  Edgar Alvárez et Francisco Granados    ,de 1 à au moins 8 victimes,,,,,,,Mexico
477,Mexique,  Juana Barraza Samperio    (es)   (1957-) (au moins 11 victimes) des personnes âgées. Condamnée à 759 ans de prison   [ 87 ]   . ,  Juana Barraza Samperio    ,au moins 11 victimes,,,,,,,Mexico
478,Mexique,  José Luis Calva    (en)   (3 victimes). ,  José Luis Calva    ,3 victimes,,,,,,,Mexico
479,Mexique,"  Gabriel Garza Hoth    (en)   (3 victimes) des femmes, pour recueillir l'assurance-vie, condamné à la réclusion à perpétuité   [ 88 ]   . ",  Gabriel Garza Hoth    ,3 victimes,,,,,,,Mexico
480,Mexique,  Delfina et María de Jesús González    (es)   (au moins 91 victimes) femmes forcées de se prostituer. Sœurs possédant une maison close à Guanajuato dans les années 1950. Tueuses en série les plus prolifiques dans l'histoire du Mexique. ,  Delfina et María de Jesús González    ,au moins 91 victimes,,,,,,,Mexico
481,Mexique,  Francisco Guerrero    (en)   (21 victimes). Condamné à mort en 1888. Mort avant d'être exécuté   [ 88 ]   . ,  Francisco Guerrero    ,21 victimes,,,,,,,Mexico
482,Mexique,  Fernando Hernández Leyva    (es)   (au moins 33 victimes). ,  Fernando Hernández Leyva    ,au moins 33 victimes,,,,,,,Mexico
483,Mexique,  Filiberto Hernández Martínez    (en)   (1971-) (5 à 6 victimes) de 2010 à 2013. Pédophile. Condamné à la prison à perpétuité. ,  Filiberto Hernández Martínez    ,5 à 6 victimes,,,,,,,Mexico
484,Mexique,  Rudolf Infante et Anna Villeda  (9 victimes)   [ 88 ]   . ,  Rudolf Infante et Anna Villeda  ,9 victimes,,,,,,,Mexico
485,Mexique,  Abdel Latif Sharif    (es)   (de 1 à 15 victimes). Égyptien tuant des femmes à Ciuda Juárez. Mort en prison   [ 89 ]   . ,  Abdel Latif Sharif    ,de 1 à 15 victimes,,,,,,,Mexico
486,Mexique,  José Lázaro Bouchana  (3 victimes)    [ 90 ]   . ,  José Lázaro Bouchana  ,3 victimes,,,,,,,Mexico
487,Mexique,  Daniel Audiel López Martínez  (8 victimes). Tuait par jalousie maladive. Il a été condamné à la prison à perpétuité   [ 91 ]   . ,  Daniel Audiel López Martínez  ,8 victimes,,,,,,,Mexico
488,Mexique,"  Evelyn López et Mónica Bélem Martínez  (3 victimes). Empoisonnait des personnes âgées en 2013   [ 92 ]    ,    [ 93 ]   . ",  Evelyn López et Mónica Bélem Martínez  ,3 victimes,,,,,,,Mexico
489,Mexique,  César Armando Librado Legorreta  (6 victimes). ll été condamné à 301 ans de prison   [ 94 ]   . ,  César Armando Librado Legorreta  ,6 victimes,,,,,,,Mexico
490,Mexique,  Raúl Osiel Marroquín    (es)   (1981-) (4 victimes) des homosexuels en 2005. « Le sadique ». Condamné à 128 ans de prison   [ 95 ]   . ,  Raúl Osiel Marroquín    ,4 victimes,,,,,,,Mexico
491,Mexique,"  Guadalupe Martínez de Bejarano  (3 victimes). Femme sadique du   XIX  e   siècle, torturait et tuait les filles. Morte en prison   [ 96 ]   . ",  Guadalupe Martínez de Bejarano  ,3 victimes,,,,,,,Mexico
492,Mexique,  Alejandro Máynez  (au moins 2 à 50 victimes). Fugitif. Tueur de femmes à  Ciudad Juárez    [ 89 ]   . ,  Alejandro Máynez  ,au moins 2 à 50 victimes,,,,,,,Mexico
493,Mexique,  Tadeo Fulgencio Mejía  (au moins 2 victimes)   [ 97 ]   . ,  Tadeo Fulgencio Mejía  ,au moins 2 victimes,,,,,,,Mexico
494,Mexique,  Silvia Meraz  (3 victimes). ,  Silvia Meraz  ,3 victimes,,,,,,,Mexico
495,Mexique,  Felícitas Sánchez Aguillón  (au moins 1 à 50 victimes). Infirmière qui tuait des bébés durant leurs soins. ,  Felícitas Sánchez Aguillón  ,au moins 1 à 50 victimes,,,,,,,Mexico
496,Mexique,  Magdalena Solís  (de 2 à 8 victimes). ,  Magdalena Solís  ,de 2 à 8 victimes,,,,,,,Mexico
497,Mexique,  Mario Alberto Sulú Canché    (es)   (3 victimes). ,  Mario Alberto Sulú Canché    ,3 victimes,,,,,,,Mexico
498,Nicaragua, «  Le tueur de Managua  » ou « L'éventreur de Managua » (6 victimes) en 1889. Non identifié. , «  Le tueur de Managua  » ou « L'éventreur de Managua » ,6 victimes,,,,,,,Nicaragua
499,Norvège,  Arnfinn Nesset    (en)   (1936-) (22 victimes). ,  Arnfinn Nesset    ,22 victimes,,,,,,,Norway
500,Pakistan,  Javed Iqbal    (en)   (1956-2001) (100 victimes). ,  Javed Iqbal    ,100 victimes,,,,,,,Pakistan
501,Pakistan,  Amir Qayyum    (en)   (1981-) (14 victimes) en 2005. « Le tueur à la brique ». ,  Amir Qayyum    ,14 victimes,,,,,,,Pakistan
502,Pérou,  Pedro Pablo Nakada Ludeña    (en)   (1973-) (17 à 25 victimes) entre 2005 et 2006. « L'apôtre de la mort ». ,  Pedro Pablo Nakada Ludeña    ,17 à 25 victimes,,,,,,,Peru
503,Pays-Bas,  Willem van Eijk    (en)   (1941-) (5 victimes) entre 1971 et 2001. « La bête d'Harkstede ». ,  Willem van Eijk    ,5 victimes,,,,,,,Netherlands
504,Pays-Bas,  Koos Hertogs    (en)   (1949-2015) (3 victimes) entre 1979 et 1980. ,  Koos Hertogs    ,3 victimes,,,,,,,Netherlands
505,Pays-Bas,  Maria Swanenburg  (1839-1915) (de 27 à 90 victimes) entre 1880 et 1883. ,  Maria Swanenburg  ,de 27 à 90 victimes,,,,,,,Netherlands
506,Pays-Bas,  Ridouan Taghi  (1977-) (de 9 à 20 victimes) entre 2010 et 2019 ,  Ridouan Taghi  ,de 9 à 20 victimes,,,,,,,Netherlands
507,Pologne,  Joachim Knychała    (en)   (1952-1985) (5 victimes) de 1975 à 1982. « Le vampire de Bytom » ou « Frankenstein ». ,  Joachim Knychała    ,5 victimes,,,,,,,Poland
508,Pologne, Karol Kot (1946-1968) (2 victimes tuées et dix tentatives) « Le vampire de Cracovie ». Condamné à mort et pendu. , Karol Kot ,2 victimes tuées et dix tentatives,,,,,,,Poland
509,Pologne,  Zdzisław Marchwicki    (en)   (1927-1977) (au moins 21 victimes). « Le vampire de Zagłębie ». ,  Zdzisław Marchwicki    ,au moins 21 victimes,,,,,,,Poland
510,Pologne,  Władysław Mazurkiewicz    (en)   (1911-1957) (au moins 30 victimes). « Le tueur gentleman » ou « Le beau garçon ». ,  Władysław Mazurkiewicz    ,au moins 30 victimes,,,,,,,Poland
511,Pologne,  Stanisław Modzelewski    (en)   (1929-1969) (de 7 à 8 victimes) de 1952 à 1967. « Le vampire de Gałkówek ». ,  Stanisław Modzelewski    ,de 7 à 8 victimes,,,,,,,Poland
512,Pologne,  Leszek Pękalski    (en)   (1966-) (au moins 17 à 80 victimes) de 1984 à 1992. « Le vampire de Bytów ». ,  Leszek Pękalski    ,au moins 17 à 80 victimes,,,,,,,Poland
513,Pologne,"  Lucian Staniak  (1920-) (20 victimes) de 1964 à 1966. « L'araignée rouge ». Condamné à mort en 1967, puis déclaré fou, sa peine est commuée en internement à vie. ",  Lucian Staniak  ,20 victimes,,,,,,,Poland
514,Pologne,"  Paweł Tuchlin    (en)   (1946-1987) (9 victimes) entre 1975 et 1983. Le « Scorpion ». Condamné à mort, il est pendu. ",  Paweł Tuchlin    ,9 victimes,,,,,,,Poland
515,Portugal,  António Luís Costa  (3 victimes) entre 2005 et 2006. Ancien officier de la  GNR . Arrêté en 2007 et condamné à 25 ans de prison. ,  António Luís Costa  ,3 victimes,,,,,,,Portugal
516,Portugal,  L'éventreur de Lisbonne  (3 victimes). Non-identifié. ,  L'éventreur de Lisbonne  ,3 victimes,,,,,,,Portugal
517,Portugal,  Fernando Perez  (?-1331) (10 victimes). Exécuté à  Lisbonne . ,  Fernando Perez  ,10 victimes,,,,,,,Portugal
518,Portugal,  Michel de Tego  (?-1450) (entre 20 et 100 victimes). Exécuté à  Lisbonne . ,  Michel de Tego  ,entre 20 et 100 victimes,,,,,,,Portugal
519,Roumanie,  Ion Rîmaru    (en)   (1946-1971) (4 victimes) entre 1970 et 1971. Le « vampire de Bucarest ». Condamné à mort et exécuté. ,  Ion Rîmaru    ,4 victimes,,,,,,,Romania
520,Roumanie,  Vasile Tcaciuc  (?-1935) (au moins 26 victimes) entre 1917 et 1935. Le « boucher de Iași ». Abattu par la police. ,  Vasile Tcaciuc  ,au moins 26 victimes,,,,,,,Romania
522,Roumanie,  Romulus Vereș    (en)   (1929-1993) (5 victimes) entre 1972 et 1974. L'« homme au marteau ». ,  Romulus Vereș    ,5 victimes,,,,,,,Romania
523,Roumanie,  Baba Anujka  (1838-1938) 50 à 150 victimes. La « sorcière de Banat » ou La « sorcière de Vladimirovac ». ,  Baba Anujka  ,1838-1938,,,,,,,Romania
524,Royaume-Uni,   D r   John Bodkin Adams  (1899-1983) (163 victimes) de 1945 à 1956   [ 98 ]   . ,   D r   John Bodkin Adams  ,163 victimes,,,,,,,United Kingdom
525,Royaume-Uni,"  Beverly Allitt  (1968-) (4 victimes) des bébés, ainsi que 9 tentatives, de février à avril 1991. Infirmière. ",  Beverly Allitt  ,4 victimes,,,,,,,United Kingdom
526,Royaume-Uni,  Levi Bellfield  (1968-) (au moins 3 victimes) de 2002 à 2004. Le « tueur au marteau » ou le « meurtrier des arrêts de bus ». ,  Levi Bellfield  ,au moins 3 victimes,,,,,,,United Kingdom
527,Royaume-Uni,  Robert Black  (1947-2016) (4 victimes) de 1981 à 1986. Pédophile. ,  Robert Black  ,4 victimes,,,,,,,United Kingdom
528,Royaume-Uni,  William Burke et William Hare  (17 victimes) de 1827 à 1828. ,  William Burke et William Hare  ,17 victimes,,,,,,,United Kingdom
529,Royaume-Uni,  Ian Brady (1938-2017) et Myra Hindley  (1942-2002) (5 victimes) de 1963 à 1965. Les « meurtriers de la Lande »   [ 99 ]   . ,  Ian Brady ,5 victimes,,,,,,,United Kingdom
530,Royaume-Uni,  John Christie  (1898-1953) (au moins 5 victimes). « L'étrangleur de la place Rillington ». ,  John Christie  ,au moins 5 victimes,,,,,,,United Kingdom
531,Royaume-Uni,  Victorino Chua    (en)   (3 victimes) et plus de 20 blessées. Les « meurtres de Stepping Hill ». ,  Victorino Chua    ,3 victimes,,,,,,,United Kingdom
532,Royaume-Uni,  Mary Ann Cotton  (1832-1873) (21 victimes) de 1853 à 1872. A été pendue. ,  Mary Ann Cotton  ,21 victimes,,,,,,,United Kingdom
533,Royaume-Uni,  Joanna Dennehy    (en)   (1982-) (3 victimes) en  mars 2013 . ,  Joanna Dennehy    ,3 victimes,,,,,,,United Kingdom
534,Royaume-Uni,  John Duffy et David Mulcahy    (en)   (au moins 3 victimes) en 1985 et 1986. Les « violeurs des voies ferrées » ou les « tueurs des voies ferrées ». ,  John Duffy et David Mulcahy    ,au moins 3 victimes,,,,,,,United Kingdom
535,Royaume-Uni,  Amelia Dyer  (1838-1896) (de 40 à 400 victimes). A été pendue. ,  Amelia Dyer  ,de 40 à 400 victimes,,,,,,,United Kingdom
536,Royaume-Uni,"  Kenneth Erskine    (en)   (1963-) (7 victimes) en 1986, des personnes âgées. « L'étrangleur de Stockwell ». ",  Kenneth Erskine    ,7 victimes,,,,,,,United Kingdom
537,Royaume-Uni,  Steven Grieveson    (en)   (1970-) (4 victimes) de 1990 à 1994. « L'étrangleur de Sunderland ». ,  Steven Grieveson    ,4 victimes,,,,,,,United Kingdom
538,Royaume-Uni,  Stephen Griffiths    (en)   (1969) (3 victimes). 3 prostituées de  juin 2009  à  mai 2010 . « Le cannibale à l'arbalète ». Condamné à la prison en vie. ,  Stephen Griffiths    ,3 victimes,,,,,,,United Kingdom
539,Royaume-Uni,  John George Haigh  (1909-1949) (de 6 à 9 victimes) de 1944 à 1949. Le « tueur au bain d'acide »   [ 100 ]   . ,  John George Haigh  ,de 6 à 9 victimes,,,,,,,United Kingdom
540,Royaume-Uni,  Archibald Hall    (en)   (1924-2002) (5 victimes) de 1977 à 1978. ,  Archibald Hall    ,5 victimes,,,,,,,United Kingdom
541,Royaume-Uni,  Anthony Hardy    (en)   (1951-) (de 3 à 9 victimes) de 2000 à 2002. ,  Anthony Hardy    ,de 3 à 9 victimes,,,,,,,United Kingdom
542,Royaume-Uni,  Trevor Hardy    (en)   (1945-2012) (3 victimes) de 1974 e 1976. « Le monstre de Manchester » ou « La bête de Manchester ». ,  Trevor Hardy    ,3 victimes,,,,,,,United Kingdom
543,Royaume-Uni,"  Lewis Hutchinson  (1733-1773). Le « docteur fou », « Maître dément du château d'Édimbourg ». À la  Jamaïque . A été pendu. ",  Lewis Hutchinson  ,,,,,,,,United Kingdom
544,Royaume-Uni,  Colin Ireland  (1954-2012) (5 victimes) de mars à  juin 1993 . « Le tueur de gays ». ,  Colin Ireland  ,5 victimes,,,,,,,United Kingdom
545,Royaume-Uni,  Jack l'Éventreur  (de 5 à 8 victimes) à  Whitechapel . Non identifié. ,  Jack l'Éventreur  ,de 5 à 8 victimes,,,,,,,United Kingdom
546,Royaume-Uni,  Bruce George Peter Lee    (en)   (1960-) (au moins 15 victimes) de 1973 à 1979. Pyromane. Interné en hôpital psychiatrique. ,  Bruce George Peter Lee    ,au moins 15 victimes,,,,,,,United Kingdom
547,Royaume-Uni,  Robert Maudsley    (en)   (1953-) (4 victimes) de 1974 à 1978. Placé en isolement. Sa cellule a inspiré celle d'Hannibal Lecter dans le film   Le silence des agneaux  . « Hannibal le cannibale ». ,  Robert Maudsley    ,4 victimes,,,,,,,United Kingdom
548,Royaume-Uni,  Patrick Mackay  (1952-) (11 victimes) de 1974 à 1975. ,  Patrick Mackay  ,11 victimes,,,,,,,United Kingdom
549,Royaume-Uni,  Peter Manuel    (en)   (1927-1958) (9 victimes) de 1956 à 1958 en Écosse. La « Bête de Birkenshaw ». A été pendu. ,  Peter Manuel    ,9 victimes,,,,,,,United Kingdom
550,Royaume-Uni,  Meurtres de Hammersmith  (8 victimes) de 1964 à 1965. « Jack le déshabilleur ». Non identifié. ,  Meurtres de Hammersmith  ,8 victimes,,,,,,,United Kingdom
551,Royaume-Uni,  Peter Moore    (en)   (1940-) (4 victimes) en 1995. « L'homme en noir ». ,  Peter Moore    ,4 victimes,,,,,,,United Kingdom
552,Royaume-Uni,"  Robert Napper  (1966-) (3 victimes). Schizophrène paranoïaque, sadique impuissant, atteint du  Syndrome d'Asperger . Interné à vie à l'hôpital Broadmoor. ",  Robert Napper  ,3 victimes,,,,,,,United Kingdom
553,Royaume-Uni,  Donald Neilson  (1936-2011) (4 victimes) de 1971 à 1975. « La panthère noire ». ,  Donald Neilson  ,4 victimes,,,,,,,United Kingdom
554,Royaume-Uni,  Dennis Nilsen  (1945-2018) (15 victimes   [ 101 ]   ). « L'étrangleur à la cravate ». ,  Dennis Nilsen  ,15 victimes   [ 101 ]   ,,,,,,,United Kingdom
555,Royaume-Uni,  William Palmer  (1824-1856) (au moins 4 victimes). A été pendu. ,  William Palmer  ,au moins 4 victimes,,,,,,,United Kingdom
556,Royaume-Uni,  Stephen Port    (en)   (1975-) (4 victimes) de 2014 à 2015. « Le tueur de Grindr » (application de rencontres homosexuelles). ,  Stephen Port    ,4 victimes,,,,,,,United Kingdom
557,Royaume-Uni,"  Angus Sinclair    (en)   (1945-) (4 victimes) une en 1961, deux en 1977 et une en 1978. « Affaire du bar du World's End ». ",  Angus Sinclair    ,4 victimes,,,,,,,United Kingdom
558,Royaume-Uni,  Harold Shipman  (1946-2004) (215 à 345 victimes). Se suicide dans sa cellule après avoir été condamné. ,  Harold Shipman  ,215 à 345 victimes,,,,,,,United Kingdom
559,Royaume-Uni,"  John Straffen    (en)   (1930-2007) (3 victimes). Assassine deux filles de moins de dix ans à des fins sadiques (il avait déjà été appréhendé pour cruauté animale), il est arrêté en 1951 et s'évade la même année : il tue une jeune femme durant sa cavale. Condamné à mort par pendaison. Gracié en raison de son faible quotient intellectuel (56). Il est désigné en 1983 et 2002 pour rester en prison jusqu'à sa mort, qui interviendra fin 2007, alors que l' Union européenne  s'apprêtait à examiner la légalité de la perpétuité réelle. ",  John Straffen    ,3 victimes,,,,,,,United Kingdom
560,Royaume-Uni,"  Peter Sutcliffe  (1946-2020) (de 13 à 15 victimes) de 1975 à 1980, des prostituées. « L'éventreur du Yorkshire ». ",  Peter Sutcliffe  ,de 13 à 15 victimes,,,,,,,United Kingdom
561,Royaume-Uni,  Peter Tobin    (en)   (1946-) (3 victimes) de 1991 à 2006. ,  Peter Tobin    ,3 victimes,,,,,,,United Kingdom
562,Royaume-Uni,  Frederick West  (1941-1995) et Rosemary West (1953-) (de 12 à 20 victimes) de 1967 à 1987. Des jeunes femmes. La plupart des meurtres sont accompagnés de viols et de tortures   [ 102 ]   . ,  Frederick West  ,de 12 à 20 victimes,,,,,,,United Kingdom
563,Royaume-Uni,  Steve Wright    (en)   (1958-) (5 victimes) des prostituées du  30 octobre  au  10 décembre 2006  autour d'Ipswich. ,  Steve Wright    ,5 victimes,,,,,,,United Kingdom
564,Royaume-Uni,"  Graham Young    (en)   (1947-1990) (3 victimes, soupçonné de plus de 70) de 1962 à 1971. Empoisonneur. « L'empoisonneur à la tasse de thé » ou « L'empoisonneur de Saint-Albans ». ",  Graham Young    ,"3 victimes, soupçonné de plus de 70",,,,,,,United Kingdom
565,Royaume-Uni," George Joseph Smith (1872-1915) (3 victimes) ""Brides in the bath murders"" ""Crimes des fiancés dans le bain"" ", George Joseph Smith ,3 victimes,,,,,,,United Kingdom
566,Royaume-Uni," Gordon Cummins (1914-1942) (4 victimes à Londres en 1942) ""The blackout ripper"". Exécuté par pendaison. ", Gordon Cummins ,4 victimes à Londres en 1942,,,,,,,United Kingdom
567,Russie,  Zaven Almazian    (en)   (3 victimes). Auteur d'une série de meurtres et de viols à  Rostov-sur-le-Don  et  Vorochilovgrad  en 1970. ,  Zaven Almazian    ,3 victimes,,,,,,,Russia
568,Russie,  Valeri Asratian    (en)   (3 victimes). A violé une douzaine de femmes à  Moscou  de 1988 à 1990. ,  Valeri Asratian    ,3 victimes,,,,,,,Russia
569,Russie,  Sergueï Golovkine  (1956-1996) (11 victimes) de jeunes garçons. Dans le raïon Odintsovski de l' oblast de Moscou  de 1986 à 1992. « Fischer ». ,  Sergueï Golovkine  ,11 victimes,,,,,,,Russia
570,Russie,  Andreï Ievseïev    (en)   (9 victimes). ,  Andreï Ievseïev    ,9 victimes,,,,,,,Russia
571,Russie,"  Vladimir Ionessian  (1937-1964) (5 victimes). À Moscou, des enfants seuls chez eux alors que les parents travaillaient. « Mosgaz » ",  Vladimir Ionessian  ,5 victimes,,,,,,,Russia
572,Russie,  Vassili Komarov    (en)   (33 victimes). « le loup de Moscou » ou « le tueur de la rue Chabolovka ». ,  Vassili Komarov    ,33 victimes,,,,,,,Russia
573,Russie,  Vassili Koulik    (en)   (13 victimes) des enfants et des vieilles femmes. A sévi à  Irkoutsk  entre 1984 et 1986. ,  Vassili Koulik    ,13 victimes,,,,,,,Russia
574,Russie,  Guennadi Mikhasevitch    (en)   (1947-1987) Policier. Condamné pour 43 meurtres dans les années 1970-1980. ,  Guennadi Mikhasevitch    ,,,,,,,,Russia
575,Russie,  Maxime Petrov    (en)   (12 victimes). « Doctor Killer ». Médecin qui a assassiné ses patients. ,  Maxime Petrov    ,12 victimes,,,,,,,Russia
576,Russie,  Alexandre Pitchouchkine  (au moins 48 à 62 victimes) de 1992 à 2006. « Le tueur à l'Échiquier ». ,  Alexandre Pitchouchkine  ,au moins 48 à 62 victimes,,,,,,,Russia
577,Russie,  Mikhaïl Popkov    (en)   (1964-) (78 victimes) de 1992 à 2010 « Le maniaque d'Angarsk » ou « Le loup garou »   [ 103 ]   . ,  Mikhaïl Popkov    ,78 victimes,,,,,,,Russia
578,Russie,"  Sergueï Riakhovski    (en)   (19 victimes). « Hippopotame », « Starfal » ou « Éventreur de  Balachikha  ». ",  Sergueï Riakhovski    ,19 victimes,,,,,,,Russia
579,Russie,"  Daria Nikolaïevna Saltykova  (1730-1801) femme de la noblesse moscovite. Elle fit une centaine de victimes parmi ses  serfs , essentiellement des femmes et des jeunes filles qu'elle torturait et tuait ",  Daria Nikolaïevna Saltykova  ,1730-1801,,,,,,,Russia
580,Russie,"  Tamara Samsonova    (en)  , une employée d'hôtel de la région de St Petersburg, a tué 11 personnes entre la fin des années 1990 et le  27 juillet 2015 . Elle a été arrêtée le  30 juillet 2015  alors qu'un tronc et des membres avaient été retrouvés par la police dans des sacs plastiques jetés dans et autour d'un lac. Une caméra de surveillance l'avait filmée transportant des sacs qui semblaient très lourds ainsi qu'une cocotte minute qui par la suite se sont avérés renfermer les restes de sa voisine. En perquisitionnant chez elle la Police a retrouvé un journal intime où elle consignait scrupuleusement tous ses méfaits dans les moindres détails. Elle avait été traitée à plusieurs reprises pour schizophrénie. Tamara Samsonova est soupçonnée d'un  12 e   meurtre, celui de son époux, dont elle avait signalé la disparition dans des circonstances étranges en 2005. ",  Tamara Samsonova    ,,,,,,,,Russia
581,Russie,  Anatoli Slivko  (1938-1989) (7 victimes). ,  Anatoli Slivko  ,7 victimes,,,,,,,Russia
582,Russie,  Alexandre Spesivtsev    (en)   (au moins 19 à 80 victimes). « le monstre de Novokouznetsk ». ,  Alexandre Spesivtsev    ,au moins 19 à 80 victimes,,,,,,,Russia
583,Russie,  Alexandre Tchaïka    (en)   (4 victimes). ,  Alexandre Tchaïka    ,4 victimes,,,,,,,Russia
584,Russie,  Andreï Tchikatilo  (+52/55 victimes). « L'ogre de Rostov ». Exécuté d'une balle dans la nuque le  14 février 1994 . ,  Andreï Tchikatilo  ,+52/55 victimes,,,,,,,Russia
585,Slovaquie,  Ondrej Rigo    (en)   (1955-) (9 victimes) entre 1990 et 1992. « Le tueur international » ou le « Tueur à la chaussette » ,  Ondrej Rigo    ,9 victimes,,,,,,,Slovakia
586,Slovaquie,  Jozef Slovák    (en)   (1951-) (5 victimes) entre 1978 et 1991. « L'étrangleur de Bratislava » ou le « Génie meurtrier » ,  Jozef Slovák    ,5 victimes,,,,,,,Slovakia
587,Slovénie,  Silvo Plut    (en)   (1968-2007) (3 victimes) entre 1990 et 2006. ,  Silvo Plut    ,3 victimes,,,,,,,Slovenia
588,Slovénie,  Metod Trobec    (en)   (1948-2006) (5 victimes) entre 1976 et 1978. ,  Metod Trobec    ,5 victimes,,,,,,,Slovenia
589,Suède,  Anders Hansson    (en)   (de 15 à 27 victimes) entre 1978 et 1979. ,  Anders Hansson    ,de 15 à 27 victimes,,,,,,,Sweden
590,Suède,  John Ingvar Lövgren    (en)   (1930-2002) (4 victimes) entre 1957 et 1964. « Le tueur de filles ». ,  John Ingvar Lövgren    ,4 victimes,,,,,,,Sweden
591,Suisse,"  Roger Andermatt  (au moins 24 victimes). A tué 24 victimes âgées de 66 à 95 ans, soit en usant de drogues soit en les étouffant avec des sacs plastique et des serviettes. Andermatt a sévi entre 1995 et 2001 dans différents hôpitaux de la région de  Lucerne . Il est arrêté en juin 2001 après la mort suspecte d’un patient à  Lucerne . Andermatt avoue ensuite être la cause de 9 décès dans le même établissement, avant d’admettre sa responsabilité dans 18 autres cas supplémentaires. Trois victimes ont survécu à ses actions. ",  Roger Andermatt  ,au moins 24 victimes,,,,,,,Switzerland
592,Suisse,  Hugues Ariol  (1700-1769) (9 victimes)   [réf. nécessaire]   . ,  Hugues Ariol  ,9 victimes,,,,,,,Switzerland
593,Suisse,"  Werner Ferrari    (de)   (1946-) (5 victimes). Pédophile, il conteste un des meurtres   [ 104 ]   . ",  Werner Ferrari    ,5 victimes,,,,,,,Switzerland
594,Suisse,  Erich Hauert    (de)   (1959-) (3 victimes) entre 1982 et 1993. ,  Erich Hauert    ,3 victimes,,,,,,,Switzerland
595,Suisse,  Michel Peiry  (1959-) (10 victimes) entre 1981 et 1987. « le sadique de Romont »   [ 105 ]   . ,  Michel Peiry  ,10 victimes,,,,,,,Switzerland
596,Suisse,  Hans Vollenweider  (1908-1940) (3 victimes) en 1939. ,  Hans Vollenweider  ,3 victimes,,,,,,,Switzerland
597,Tchécoslovaquie,"  Hubert Pilčík    (en)   (1891-1951), au moins 5 victimes, entre 1948 et 1951. ",  Hubert Pilčík    ,1891-1951,,,,,,,Czechia
598,Tchécoslovaquie,"  Ladislav Hojer  (1958-1986), au moins 5 victimes, entre 1978 et 1981. ",  Ladislav Hojer  ,1958-1986,,,,,,,Czechia
599,Tchécoslovaquie,"  Václav Mrázek    (en)   (1925-1957), au moins 7 victimes, dans les années 1950. ",  Václav Mrázek    ,1925-1957,,,,,,,Czechia
600,Tchécoslovaquie,"  Marie Fikáčková  (1936-1961), infirmière à  Sušice   [Lequel ?]   exécutée par pendaison en 1961. ",  Marie Fikáčková  ,,,,,,,,Czechia
601,Tunisie,  Abdelaziz Bouajila  (1961-) (5 victimes) entre 1981 et 1987. « L'étrangleur à la cravate ». ,  Abdelaziz Bouajila  ,5 victimes,,,,,,,Tunisia
602,Tunisie,  Naceur Damergi  (1944-1990) (13 victimes). ,  Naceur Damergi  ,13 victimes,,,,,,,Tunisia
603,Tunisie,  Kamel Lahouel  (au moins 14 victimes)   [ 106 ]   . Le « meurtrier de Sousse ». ,  Kamel Lahouel  ,au moins 14 victimes,,,,,,,Tunisia
604,Turquie,  Abdullah Palaz  (43 victimes) dans les années 1940. « La bête d' Antep » . Probablement le premier tueur en série de la  Turquie  moderne   [ 107 ]   . ,  Abdullah Palaz  ,43 victimes,,,,,,,Turkey
605,Turquie,  Seyit Ahmet Demirci    (en)   (3 victimes) en 1998. « Le tueur de fournisseur mobilier »   [ 107 ]   . ,  Seyit Ahmet Demirci    ,3 victimes,,,,,,,Turkey
606,Turquie,  Hamdi Kayapınar    (en)   (8 victimes) entre 1994 et 2018. « Le chasseur »   [ 107 ]   . ,  Hamdi Kayapınar    ,8 victimes,,,,,,,Turkey
607,Turquie,  Süleyman Aktaş    (en)   (5 victimes) entre 1986 et 1994. « Le tueur cloueur »   [ 107 ]   . ,  Süleyman Aktaş    ,5 victimes,,,,,,,Turkey
608,Turquie,  Ali Kaya (tueur en série)    (en)   (10 victimes) entre 1997 et 2012. « Le tueur au visage de bébé »   [ 107 ]   . ,  Ali Kaya ,10 victimes,,,,,,,Turkey
609,Turquie,  Adnan Çolak    (en)   (11 victimes) entre 1992 et 1995. « La bête d' Artvin  »   [ 107 ]   . ,  Adnan Çolak    ,11 victimes,,,,,,,Turkey
